Date,Open,High,Low,Close,Volume,Change,Close_Comparison
2019-01-02,199081,200410,188883,190215,1178817,-0.0359586437585525,
2019-01-03,189769,192874,184893,186669,1073421,-0.0186420629287911,0
2019-01-04,186666,195978,184450,195093,1276809,0.0451280073284798,1
2019-01-07,201298,201298,190657,191545,1208582,-0.0181861983771841,0
2019-01-08,191985,194204,188439,189328,729470,-0.0115743036884282,0
2019-01-09,191099,192874,186223,189772,953569,0.0023451364827178,1
2019-01-10,191099,196419,190214,191989,1009470,0.0116824399806083,1
2019-01-11,192429,193760,189770,191989,528152,0.0,
2019-01-14,191543,191543,186223,187112,801082,-0.0254024970180583,0
2019-01-15,187996,189769,182232,184008,1126223,-0.0165889948266279,0
2019-01-16,184892,185778,177798,179130,1526705,-0.0265097169688274,0
2019-01-17,178241,181345,173364,173367,1760682,-0.0321721654664209,0
2019-01-18,174695,179572,172476,178244,1421849,0.028131074541291,1
2019-01-21,178684,178684,172921,175584,988853,-0.0149233634792755,0
2019-01-22,176468,180460,176025,177357,657515,0.0100977310005467,1
2019-01-23,177356,178242,176025,177357,483602,0.0,
2019-01-24,177798,184450,177356,184451,1093828,0.0399984212633275,1
2019-01-25,184893,186665,182232,184894,712007,0.0024017218665119,1
2019-01-28,186666,190213,185779,187112,943475,0.0119960626088462,1
2019-01-29,187553,189327,183119,186669,560869,-0.0023675659498054,0
2019-01-30,188440,191099,187553,190659,686595,0.0213747328158397,1
2019-01-31,192875,195977,191544,194206,950879,0.0186038949118583,1
2019-02-01,195977,196419,189770,190215,723013,-0.0205503434497389,0
2019-02-07,191099,191985,186223,189772,490050,-0.0023289435638619,0
2019-02-08,189327,194204,188440,190659,432205,0.0046740298884977,1
2019-02-11,192874,193760,190657,191103,343590,0.002328764967822,1
2019-02-12,191099,191544,187110,188441,513710,-0.0139296609681689,0
2019-02-13,189327,190214,187110,187999,462468,-0.0023455617408101,0
2019-02-14,187995,188882,183119,186224,758194,-0.0094415395826573,0
2019-02-15,185336,188440,184893,185781,565239,-0.0023788555717845,0
2019-02-18,187553,189327,186666,187999,343102,0.0119387881430286,1
2019-02-19,188883,192430,187553,190659,486178,0.0141490114309119,1
2019-02-20,191544,191985,189326,189328,348422,-0.0069810499373226,0
2019-02-21,188882,189326,184006,184008,770536,-0.0280993830812135,0
2019-02-22,184006,185778,182675,183564,374067,-0.0024129385678883,0
2019-02-25,179129,184449,177356,180904,1025530,-0.0144908587740515,0
2019-02-26,182231,184449,180015,181347,685165,0.0024488126299031,1
2019-02-27,180901,181344,179129,179574,426533,-0.009776836672236,0
2019-02-28,180015,184449,180015,181347,785739,0.009873366968492,1
2019-03-04,183563,185779,182232,184008,500329,0.0146735264437789,1
2019-03-05,184006,187995,183119,186224,688084,0.0120429546541453,1
