Date,Open,High,Low,Close,Volume,Change,Close_Comparison
2019-01-02,464500,472500,461000,467000,83710,0.0010718113612004,
2019-01-03,467000,467000,450500,454500,86434,-0.0267665952890792,0
2019-01-04,455500,468000,455000,464000,85521,0.0209020902090208,1
2019-01-07,460000,476500,460000,472500,99745,0.0183189655172413,1
2019-01-08,476000,477500,462500,469000,59862,-0.0074074074074074,0
2019-01-09,467500,477500,466500,474500,62707,0.011727078891258,1
2019-01-10,469000,476000,466000,472000,95616,-0.0052687038988409,0
2019-01-11,477000,490000,472000,489500,104444,0.0370762711864407,1
2019-01-14,487000,493000,481000,482500,64728,-0.0143003064351379,0
2019-01-15,482500,488000,473000,475500,88024,-0.0145077720207253,0
2019-01-16,476000,477500,459000,465500,116641,-0.021030494216614,0
2019-01-17,466000,483000,463000,480500,115113,0.0322234156820622,1
2019-01-18,484500,502000,482500,498000,123645,0.0364203954214359,1
2019-01-21,500000,504000,493500,498000,61535,0.0,
2019-01-22,498000,501000,493000,496000,48434,-0.0040160642570281,0
2019-01-23,495500,499000,483500,484000,68089,-0.0241935483870967,0
2019-01-24,477500,486500,468000,473500,95774,-0.021694214876033,0
2019-01-25,471000,473500,462000,467000,136450,-0.013727560718057,0
2019-01-28,466000,469500,461500,463500,103224,-0.0074946466809421,0
2019-01-29,466500,469000,460500,465500,89814,0.0043149946062568,1
2019-01-30,465000,471000,461000,467500,108943,0.004296455424275,1
2019-01-31,470000,474500,464000,468500,124938,0.0021390374331551,1
2019-02-01,468500,478000,466000,474000,79604,0.0117395944503735,1
2019-02-07,474000,474000,459000,462500,104632,-0.0242616033755274,0
2019-02-08,460500,464500,460000,463500,71333,0.0021621621621621,1
2019-02-11,462000,464000,447000,452500,165882,-0.023732470334412,0
2019-02-12,445500,455000,425000,433500,313420,-0.041988950276243,0
2019-02-13,431500,436000,424500,433000,256490,-0.0011534025374856,0
2019-02-14,435500,448000,433000,448000,302509,0.0346420323325635,1
2019-02-15,445000,452000,442000,445500,140722,-0.005580357142857,0
2019-02-18,450000,450000,443000,447000,84523,0.0033670033670034,1
2019-02-19,448000,451000,445500,446500,64168,-0.0011185682326622,0
2019-02-20,444000,447000,441000,441500,82879,-0.0111982082866741,0
2019-02-21,442000,445500,437000,444000,74236,0.0056625141562853,1
2019-02-22,444000,444000,429500,430500,125350,-0.0304054054054053,0
2019-02-25,431000,437500,430500,432500,91850,0.0046457607433216,1
2019-02-26,435500,443000,433500,443000,77697,0.0242774566473988,1
2019-02-27,443500,450000,439500,449500,109221,0.0146726862302482,1
2019-02-28,451000,467000,448000,461000,187327,0.025583982202447,1
2019-03-04,456500,459000,442000,448000,146351,-0.0281995661605206,0
2019-03-05,449500,450500,443000,445000,66258,-0.0066964285714286,0
2019-03-06,445000,451000,437000,449500,72925,0.0101123595505618,1
2019-03-07,452000,454000,435500,440000,79647,-0.0211345939933259,0
2019-03-08,437500,439500,429000,430500,70249,-0.0215909090909091,0
2019-03-11,435000,444000,430500,435000,58961,0.0104529616724737,1
2019-03-12,440500,443500,436500,441000,45592,0.0137931034482758,1
2019-03-13,441000,441000,432000,438500,41269,-0.0056689342403628,0
2019-03-14,441000,441000,433500,437500,91620,-0.0022805017103763,0
2019-03-15,434500,444500,434000,444500,65117,0.016,1
2019-03-18,445500,449500,443500,448000,58091,0.0078740157480314,1
2019-03-19,448000,453500,444000,449000,55644,0.0022321428571427,1
2019-03-20,445500,457000,443500,454500,74321,0.0122494432071269,1
2019-03-21,449500,464500,449500,463000,100842,0.0187018701870187,1
2019-03-22,465500,483000,463500,478000,160944,0.0323974082073434,1
2019-03-25,475500,485000,473500,478500,91266,0.0010460251046024,1
2019-03-26,480500,486000,477500,481000,80586,0.0052246603970742,1
2019-03-27,481500,483000,475000,478500,66291,-0.0051975051975051,0
2019-03-28,474000,500000,467500,498000,130105,0.0407523510971787,1
2019-03-29,498000,499500,491000,496000,82323,-0.0040160642570281,0
2019-04-01,494500,499000,487000,490500,77034,-0.0110887096774193,0
2019-04-02,488500,494500,488000,491500,71221,0.0020387359836901,1
2019-04-03,491500,504000,488000,498500,112052,0.0142421159715158,1
2019-04-04,499000,503000,494500,498500,39054,0.0,
2019-04-05,503000,505000,498500,503000,48512,0.0090270812437311,1
2019-04-08,503000,503000,491000,498500,37200,-0.0089463220675943,0
2019-04-09,500000,503000,491000,496000,58655,-0.0050150451354061,0
2019-04-10,496000,505000,493000,497500,55961,0.003024193548387,1
2019-04-11,501000,513000,499500,505000,132088,0.015075376884422,1
2019-04-12,505000,513000,503000,506000,65829,0.0019801980198019,1
2019-04-15,504000,507000,494500,495000,92619,-0.0217391304347825,0
2019-04-16,499500,510000,495000,509000,82689,0.0282828282828282,1
2019-04-17,506000,509000,496000,500000,73017,-0.0176817288801571,0
2019-04-18,499000,502000,492000,498500,72771,-0.003,0
2019-04-19,501000,502000,487500,491000,43300,-0.0150451354062186,0
2019-04-22,491500,492000,484500,486000,52629,-0.010183299389002,0
2019-04-23,491500,499500,489500,499000,123679,0.0267489711934156,1
2019-04-24,503000,505000,495500,505000,90022,0.0120240480961923,1
2019-04-25,504000,512000,502000,510000,45223,0.0099009900990099,1
2019-04-26,511000,513000,498000,504000,66508,-0.0117647058823529,0
2019-04-29,499500,511000,498500,511000,38932,0.0138888888888888,1
2019-04-30,512000,526000,508000,526000,80788,0.0293542074363992,1
2019-05-02,526000,526000,518000,522000,51664,-0.0076045627376425,0
2019-05-03,527000,533000,512000,519000,47618,-0.0057471264367816,0
2019-05-07,510000,520000,499000,501000,73948,-0.0346820809248554,0
2019-05-08,497500,507000,495000,502000,59234,0.0019960079840319,1
2019-05-09,501000,505000,490000,490000,109131,-0.0239043824701195,0
2019-05-10,471500,506000,467500,502000,172770,0.0244897959183674,1
2019-05-13,498000,531000,498000,511000,103193,0.0179282868525896,1
2019-05-14,523000,523000,497000,500000,86710,-0.0215264187866928,0
2019-05-15,499500,508000,494000,498500,54135,-0.003,0
2019-05-16,495000,505000,494500,500000,65313,0.0030090270812437,1
2019-05-17,504000,506000,492000,493500,44950,-0.013,0
2019-05-20,497000,497000,482500,484500,55373,-0.0182370820668692,0
2019-05-21,481500,495000,481500,485000,51349,0.0010319917440659,1
2019-05-22,483000,490000,480500,487000,45831,0.0041237113402061,1
2019-05-23,489000,494000,481000,491000,43133,0.0082135523613962,1
2019-05-24,491000,495000,472500,475000,80965,-0.0325865580448064,0
2019-05-27,464000,481500,451500,480000,68926,0.0105263157894737,1
2019-05-28,482500,484000,472500,474500,268971,-0.0114583333333333,0
2019-05-29,479500,487000,474500,480000,74685,0.01159114857745,1
