Date,Open,High,Low,Close,Volume,Change,Close_Comparison
2019-01-02,51900,52600,50800,51100,173503,-0.022944550669216,
2019-01-03,51400,52300,50000,50400,246668,-0.0136986301369863,0
2019-01-04,50300,52700,49550,52200,216015,0.0357142857142858,1
2019-01-07,53000,55000,52500,53600,319482,0.0268199233716475,1
2019-01-08,53700,53800,52200,52200,143388,-0.0261194029850746,0
2019-01-09,52400,52500,50600,51200,281480,-0.0191570881226054,0
2019-01-10,51200,51500,50600,51100,179620,-0.001953125,0
2019-01-11,51100,51400,49550,49950,264523,-0.022504892367906,0
2019-01-14,50000,50500,49650,50100,205344,0.003003003003003,1
2019-01-15,50400,51800,49850,50800,276860,0.0139720558882234,1
2019-01-16,50900,51000,49400,49500,298797,-0.0255905511811023,0
2019-01-17,49700,49850,47000,47200,456935,-0.0464646464646464,0
2019-01-18,47800,47950,46250,47550,326957,0.007415254237288,1
2019-01-21,48350,48350,45750,46300,396743,-0.0262881177707675,0
2019-01-22,46200,47400,45700,47100,236083,0.0172786177105832,1
2019-01-23,46750,46800,44000,44400,758799,-0.0573248407643312,0
2019-01-24,44550,44750,43500,44350,361463,-0.0011261261261261,0
2019-01-25,44950,46100,44850,45500,368971,0.0259301014656143,1
2019-01-28,45950,45950,44550,45450,235658,-0.001098901098901,0
2019-01-29,45000,45300,44500,45000,210758,-0.0099009900990099,0
2019-01-30,45300,46600,44950,46500,330902,0.0333333333333334,1
2019-01-31,47000,48600,46550,48050,655743,0.0333333333333334,1
2019-02-01,48400,48400,46600,47050,290606,-0.0208116545265348,0
2019-02-07,47050,47700,46050,47000,270281,-0.0010626992561104,0
2019-02-08,46650,47300,46200,46450,202680,-0.0117021276595744,0
2019-02-11,46900,48400,46850,47750,342344,0.0279870828848223,1
2019-02-12,47550,48000,46350,46450,298643,-0.0272251308900524,0
2019-02-13,46850,46900,45850,46750,267483,0.0064585575888052,1
2019-02-14,46350,46650,45800,46400,194927,-0.0074866310160427,0
2019-02-15,46350,47550,46250,47350,299575,0.0204741379310344,1
2019-02-18,47800,48000,46500,46800,320104,-0.0116156282998943,0
2019-02-19,46700,46800,46350,46550,168680,-0.0053418803418803,0
2019-02-20,46450,48250,46400,48100,427150,0.033297529538131,1
2019-02-21,48300,50000,48200,49900,609473,0.0374220374220373,1
2019-02-22,49450,49750,47950,48150,293309,-0.0350701402805611,0
2019-02-25,48400,48750,47800,48150,204462,0.0,
2019-02-26,48150,48300,46750,47250,293626,-0.0186915887850467,0
2019-02-27,47300,47800,47000,47100,159566,-0.0031746031746031,0
2019-02-28,47100,47750,46500,46500,198978,-0.0127388535031847,0
2019-03-04,46900,48100,46900,48000,209407,0.032258064516129,1
2019-03-05,47500,47700,46800,46850,161756,-0.0239583333333333,0
2019-03-06,46650,47500,46500,46950,157028,0.0021344717182496,1
2019-03-07,46950,47000,44650,44900,438574,-0.0436634717784877,0
2019-03-08,44400,45600,43500,45300,393353,0.0089086859688196,1
2019-03-11,45300,45300,39800,40550,1682618,-0.1048565121412803,0
2019-03-12,40600,40900,38850,39050,1093676,-0.0369913686806412,0
2019-03-13,39150,40250,39100,39900,588650,0.0217669654289371,1
2019-03-14,39850,40450,39200,39200,391267,-0.0175438596491228,0
2019-03-15,39300,39500,37300,37900,786356,-0.0331632653061224,0
2019-03-18,38150,40050,38000,39500,603789,0.04221635883905,1
2019-03-19,39450,39950,39150,39200,232753,-0.0075949367088608,0
2019-03-20,39500,39600,38700,38950,295585,-0.0063775510204081,0
2019-03-21,37900,38850,37700,38200,441258,-0.0192554557124519,0
2019-03-22,38300,38850,37950,38750,220019,0.0143979057591623,1
2019-03-25,38300,39350,38050,38050,339967,-0.0180645161290322,0
2019-03-26,38350,39250,38250,39150,319885,0.028909329829172,1
2019-03-27,39650,39650,38400,38400,317766,-0.0191570881226054,0
2019-03-28,38400,38850,38300,38650,154933,0.0065104166666667,1
2019-03-29,38650,39450,38250,39400,252636,0.019404915912031,1
2019-04-01,39450,39750,38900,39350,251432,-0.0012690355329949,0
2019-04-02,39250,40300,39050,40100,449885,0.0190597204574332,1
2019-04-03,40300,41750,40150,40850,661898,0.0187032418952617,1
